City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Atuona,PF,78.28,few clouds,-9.8,-139.0333,Villa Enata
10,Lekoni,GA,71.98,overcast clouds,-1.5843,14.2591,Rendez-vous Des ChasseursD
12,Rikitea,PF,74.01,clear sky,-23.1203,-134.9692,People ThankYou
14,Katsuura,JP,78.84,scattered clouds,35.1333,140.3,Katsuura Hotel Mikazuki
20,Vaini,TO,77.16,scattered clouds,-21.2,-175.2,Keleti Beach Resort
21,Avarua,CK,78.85,few clouds,-21.2078,-159.775,Paradise Inn
22,Trairi,BR,78.28,broken clouds,-3.2778,-39.2689,janelas do mar
23,San Cristobal,VE,75.38,broken clouds,7.7669,-72.225,Posada Villaven C.A.
30,Touros,BR,77.9,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
32,Port Macquarie,AU,75.16,clear sky,-31.4333,152.9167,Rydges Port Macquarie
33,Ponta Do Sol,PT,72.23,broken clouds,32.6667,-17.1,Hotel do Campo
38,Geraldton,AU,70.21,clear sky,-28.7667,114.6,Broadwater Mariner Resort
49,Guacamayas,MX,78.58,scattered clouds,18.0167,-102.2167,DIDPROQUIM
56,Meulaboh,ID,77.52,overcast clouds,4.1363,96.1285,Kost Pria
65,Glen Allen,US,74.21,broken clouds,37.666,-77.5064,Courtyard by Marriott Richmond North/Glen Allen
66,Airai,TL,75.2,few clouds,-8.9266,125.4092,Juvinal Martin
74,Madanapalle,IN,78.76,overcast clouds,13.55,78.5,Prithvi Lodge
75,Arraial Do Cabo,BR,71.8,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
76,Tucuman,AR,77.0,smoke,-26.8241,-65.2226,HOTEL MIAMI
91,Lamu,KE,76.15,few clouds,-2.2717,40.902,Lamu House
97,Bemidji,US,79.09,overcast clouds,47.4736,-94.8803,Hampton Inn & Suites Bemidji
101,Laguna,US,78.98,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
103,Mayumba,GA,73.67,overcast clouds,-3.432,10.6554,LIKWALE LODGE
112,Algemesi,ES,72.37,clear sky,39.1833,-0.4333,Hotel Lluna Alzira
115,Bengkulu,ID,78.82,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
118,Pochutla,MX,76.44,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
121,Carnarvon,AU,78.87,clear sky,-24.8667,113.6333,Hospitality Carnarvon
122,Ribeira Grande,PT,70.21,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
137,Lompoc,US,71.22,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
142,Coahuayana,MX,77.38,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
144,Eqbaliyeh,IR,75.02,clear sky,35.3022,51.5358,باغ ویلا طاهری
146,Cachoeirinha,BR,72.7,broken clouds,-29.9511,-51.0939,Motel Sahara
160,Havelock,US,78.93,overcast clouds,34.8791,-76.9013,Sherwood Motel
163,Katobu,ID,72.48,overcast clouds,-4.9408,122.5276,La Ode Husein
168,Hobyo,SO,76.91,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
171,Petatlan,MX,77.11,broken clouds,17.5167,-101.2667,Hotel California Petatlán
172,Bardiyah,LY,77.0,clear sky,31.7561,25.0865,بورتو بردية
173,Luganville,VU,79.0,broken clouds,-15.5333,167.1667,The Espiritu Hotel
175,Eldorado,BR,78.22,overcast clouds,-23.7869,-54.2836,Villa Verde Hotel
176,Buchanan,LR,75.99,moderate rain,5.8808,-10.0467,Kamaneahn Hotel Inc
179,Bandarbeyla,SO,77.85,overcast clouds,9.4942,50.8122,JABIR HOTEL
183,Show Low,US,72.3,clear sky,34.2542,-110.0298,Hampton Inn & Suites Show Low-Pinetop
184,Pacific Grove,US,72.0,clear sky,36.6177,-121.9166,Lovers Point Inn
188,Yatou,CN,73.04,light rain,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
190,Bida,NG,74.75,light rain,9.0833,6.0167,Royal Suite
192,Salem,IN,75.4,mist,11.65,78.1667,YMCA PROGRAM CENTRE
198,Sao Joao Da Barra,BR,74.52,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
200,Najran,SA,75.85,clear sky,17.4924,44.1277,محمد هادي ال فطيح
205,Guozhen,CN,73.9,clear sky,34.3659,107.359,Yucai Hotel
210,Camopi,GF,71.67,scattered clouds,3.1655,-52.3158,
211,Hasaki,JP,77.4,clear sky,35.7333,140.8333,Hotel Sunrise Choshi
216,Le Vauclin,MQ,77.05,clear sky,14.5452,-60.8388,Hôtel Cap Macabou
223,Manoharpur,IN,77.95,clear sky,27.3,75.95,कैथल हरियाणा होटल
228,Urumqi,CN,70.75,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
238,Alta Floresta,BR,78.44,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
239,Sao Jose Da Coroa Grande,BR,74.53,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
247,Kampong Chhnang,KH,76.19,overcast clouds,12.1667,104.55,Waterfall Resort អមលាំង
255,Kalghatgi,IN,70.11,overcast clouds,15.1833,74.9667,SHAKTISHA PARADISE
257,Tacarigua,VE,71.6,broken clouds,10.0862,-67.9198,Posada Tacarigua C.A.
269,Borba,BR,76.73,few clouds,-4.3878,-59.5939,Hotel da Amazônia
270,Diebougou,BF,73.44,clear sky,10.9667,-3.25,Hotel Le Consulat
273,Dubbo,AU,71.73,clear sky,-32.25,148.6167,Comfort Inn Blue Lagoon
274,Odweyne,SO,75.38,scattered clouds,9.4092,45.064,Eng Hiirey House
280,Acapulco,MX,79.75,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
284,Sebastian,US,79.65,clear sky,35.1668,-94.2669,
286,Hambantota,LK,79.14,few clouds,6.1241,81.1185,Bungalow 63
287,La Asuncion,VE,79.29,few clouds,11.0333,-63.8628,Colinas de Matasiete
288,Carutapera,BR,76.42,overcast clouds,-1.195,-46.02,Lidera
295,Soure,BR,79.45,broken clouds,-0.7167,-48.5233,Casarão da Amazônia
301,Jaumave,MX,75.96,clear sky,23.4167,-99.3833,HOTEL CIENEGA
308,Xinyang,CN,73.08,broken clouds,32.1228,114.0656,Jinjiang Inn Style Xinyang Dongfanghong Avenue Culture Center
309,Playa Vicente,MX,75.87,overcast clouds,17.8333,-95.8167,"Hotel ""Imperio"""
314,Tema,GH,79.21,broken clouds,5.667,-0.0166,Beulah Royale Hotel Tema
319,Itaparica,BR,76.93,clear sky,-12.8883,-38.6786,Pousada Nel Blu
322,Coffs Harbour,AU,77.27,clear sky,-30.3,153.1333,Aquajet Motel
323,Papetoai,PF,76.59,few clouds,-17.4961,-149.8729,Fare Vaihere
324,Nova Venecia,BR,70.81,broken clouds,-18.7106,-40.4006,Hotel Ferrari - Rede Ferrari
326,Temerloh,MY,79.36,broken clouds,3.4483,102.4176,U Design Hotel Temerloh
330,Yichang,CN,78.08,light rain,30.7144,111.2847,Gezhouba Hotel
332,Faanui,PF,78.78,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
334,Taree,AU,78.06,clear sky,-31.9,152.4667,All Seasons Country Lodge Taree
339,Bathsheba,BB,77.61,few clouds,13.2167,-59.5167,Atlantis Hotel
341,Sri Aman,MY,78.85,scattered clouds,1.2376,111.4621,Seri Simanggang Hotel
343,Mayo,US,70.41,clear sky,38.8876,-76.5119,Resorts Resource Group International
345,Kismayo,SO,76.55,few clouds,-0.3582,42.5454,Agan-Hotel
353,Dinguiraye,GN,70.48,light rain,11.3,-10.7167,
357,Avera,US,76.68,overcast clouds,33.194,-82.5271,
362,Praia,CV,79.34,few clouds,14.9215,-23.5087,LT Aparthotel
377,Capoterra,IT,70.57,clear sky,39.1763,8.9718,Ariedo Bed And Breakfast
386,Flinders,AU,78.06,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
388,Giovinazzo,IT,77.29,clear sky,41.1864,16.6674,Alloggio San Domenico
394,Ulladulla,AU,77.88,clear sky,-35.35,150.4667,Sandpiper Motel
397,Mogadishu,SO,77.14,clear sky,2.0371,45.3438,Hotel Juba
400,Esna,EG,78.82,clear sky,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
407,Panguna,PG,77.59,moderate rain,-6.3164,155.4848,
408,Bousso,TD,72.5,overcast clouds,10.4795,16.7117,
410,Carauari,BR,77.13,few clouds,-4.8828,-66.8958,Hotel Fellip
412,Morganton,US,75.4,clear sky,35.7454,-81.6848,Hampton Inn Morganton
421,Antalaha,MG,70.56,overcast clouds,-14.9003,50.2788,Hotel Vitasoa
425,Bowen,AU,79.02,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
427,Nouadhibou,MR,76.98,clear sky,20.931,-17.0347,El Medina
440,Cristalina,BR,70.29,few clouds,-16.7686,-47.6136,HOTEL TOPAZIO
443,Moerai,PF,74.61,clear sky,-22.4333,-151.3333,Le Manotel
444,Bhanpuri,IN,76.82,overcast clouds,21.1,80.9167,Bholaram Verma
445,Salalah,OM,79.05,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
449,Asyut,EG,78.98,clear sky,27.181,31.1837,Florence Hotel Assiut
454,Nelson Bay,AU,77.29,clear sky,-32.7167,152.15,Mantra Nelson Bay
460,Ibajay,PH,79.25,light rain,11.8199,122.162,Toh Pao's Fastfood and Lodging Inn
466,Worthington,US,77.14,overcast clouds,40.0931,-83.018,Sheraton Suites Columbus Worthington
471,Posse,BR,74.37,clear sky,-14.0931,-46.3694,Pousada das Palmeiras
472,Kashi,CN,72.61,clear sky,39.4547,75.9797,帕米尔青年旅舍
473,Yuncheng,CN,70.56,overcast clouds,35.0231,110.9928,晋州快捷酒店
474,Belmonte,BR,75.7,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
481,Ardakan,IR,73.78,clear sky,32.31,54.0175,Ardakan Hotel
484,Nalut,LY,79.92,clear sky,30.3333,10.85,
485,Korla,CN,78.49,clear sky,41.7597,86.1469,Gulisitan Hotel
488,Tougan,BF,77.16,overcast clouds,13.0667,-3.0667,Hôtel SMAK
489,Kathmandu,NP,71.82,broken clouds,27.7167,85.3167,Hotel Shanker Kathmandu
490,Nuzvid,IN,79.65,overcast clouds,16.7833,80.85,HI-TECH LODGE
491,Port-Gentil,GA,76.59,overcast clouds,-0.7193,8.7815,Fengshui Residence
493,Caravelas,BR,71.1,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
495,Kuliyapitiya,LK,78.48,broken clouds,7.4688,80.0401,Rest House
