City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
0,Cape Town,ZA,-33.9258,18.4232,58.87,82,75,1.01,light rain,0.29,0.0
1,Port Alfred,ZA,-33.5906,26.891,57.85,88,43,11.45,scattered clouds,0.0,0.0
2,Atuona,PF,-9.8,-139.0333,78.28,75,13,21.63,few clouds,0.0,0.0
3,Mount Isa,AU,-20.7333,139.5,89.37,20,10,11.5,clear sky,0.0,0.0
4,Baza,ES,37.4907,-2.7726,65.43,81,0,1.01,clear sky,0.0,0.0
5,Butaritari,KI,3.0707,172.7902,83.32,64,6,11.77,clear sky,0.0,0.0
6,Punta Arenas,CL,-53.15,-70.9167,41.11,70,20,28.77,few clouds,0.0,0.0
7,Provideniya,RU,64.3833,-173.3,37.51,48,40,15.66,scattered clouds,0.0,0.0
8,Wanning,CN,18.8003,110.3967,86.5,68,5,6.04,clear sky,0.0,0.0
9,Calama,CL,-22.4667,-68.9333,55.02,23,28,4.05,scattered clouds,0.0,0.0
10,Lekoni,GA,-1.5843,14.2591,71.98,84,98,1.41,overcast clouds,0.0,0.0
11,Sampit,ID,-2.5333,112.95,85.89,60,52,4.94,broken clouds,0.0,0.0
12,Rikitea,PF,-23.1203,-134.9692,74.01,76,10,12.03,clear sky,0.0,0.0
13,Kavieng,PG,-2.5744,150.7967,84.34,69,99,6.17,overcast clouds,0.0,0.0
14,Katsuura,JP,35.1333,140.3,78.84,61,40,18.41,scattered clouds,0.0,0.0
15,Kapaa,US,22.0752,-159.319,80.92,73,75,3.0,broken clouds,0.0,0.0
16,Udachnyy,RU,66.4167,112.4,34.66,62,100,12.01,overcast clouds,0.0,0.0
17,Busselton,AU,-33.65,115.3333,56.05,57,0,13.98,clear sky,0.0,0.0
18,Pangnirtung,CA,66.1451,-65.7125,31.06,82,17,8.7,few clouds,0.0,0.0
19,Aklavik,CA,68.2191,-135.0107,47.23,54,9,4.99,clear sky,0.0,0.0
20,Vaini,TO,-21.2,-175.2,77.16,78,40,11.5,scattered clouds,0.0,0.0
21,Avarua,CK,-21.2078,-159.775,78.85,73,20,11.5,few clouds,0.0,0.0
22,Trairi,BR,-3.2778,-39.2689,78.28,78,69,13.18,broken clouds,0.0,0.0
23,San Cristobal,VE,7.7669,-72.225,75.38,97,81,2.28,broken clouds,0.0,0.0
24,Mangrol,IN,21.1167,70.1167,80.53,86,20,4.94,few clouds,0.0,0.0
25,Ushuaia,AR,-54.8,-68.3,40.66,75,75,16.11,broken clouds,0.0,0.0
26,Kokopo,PG,-4.352,152.2633,85.82,62,48,9.48,scattered clouds,0.0,0.0
27,Severo-Kurilsk,RU,50.6789,156.125,51.82,75,53,17.18,broken clouds,0.0,0.0
28,Nikolskoye,RU,59.7035,30.7861,40.89,82,100,8.75,overcast clouds,0.0,0.0
29,Mataura,NZ,-46.1927,168.8643,57.2,59,98,8.43,overcast clouds,0.0,0.0
30,Touros,BR,-5.1989,-35.4608,77.9,72,98,15.52,overcast clouds,0.0,0.0
31,Hermanus,ZA,-34.4187,19.2345,55.9,78,27,15.64,scattered clouds,0.0,0.0
32,Port Macquarie,AU,-31.4333,152.9167,75.16,32,0,7.78,clear sky,0.0,0.0
33,Ponta Do Sol,PT,32.6667,-17.1,72.23,74,55,6.11,broken clouds,0.0,0.0
34,Tuktoyaktuk,CA,69.4541,-133.0374,44.6,53,20,14.97,few clouds,0.0,0.0
35,Castro,BR,-24.7911,-50.0119,65.91,86,100,2.93,overcast clouds,0.0,0.0
36,Edd,ER,13.9297,41.6925,89.15,54,92,5.59,overcast clouds,0.0,0.0
37,Tranas,SE,58.0372,14.9782,47.43,84,92,6.04,overcast clouds,0.0,0.0
38,Geraldton,AU,-28.7667,114.6,70.21,46,0,21.85,clear sky,0.0,0.0
39,Hilo,US,19.7297,-155.09,82.27,76,90,6.91,overcast clouds,0.0,0.0
40,Turukhansk,RU,65.8167,87.9833,39.88,92,100,4.54,light rain,0.16,0.0
41,Byron Bay,AU,-28.65,153.6167,85.71,54,19,16.37,few clouds,0.0,0.0
42,Cockburn Town,TC,21.4612,-71.1419,83.07,75,94,16.96,overcast clouds,0.0,0.0
43,Skovorodino,RU,53.9833,123.9167,55.71,65,51,4.72,broken clouds,0.0,0.0
44,Albany,US,42.6001,-73.9662,58.53,86,0,2.84,clear sky,0.0,0.0
45,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,83,20,6.91,few clouds,0.0,0.0
46,Bluff,NZ,-46.6,168.3333,54.27,68,99,16.96,overcast clouds,0.0,0.0
47,Fortuna,US,40.5982,-124.1573,67.19,67,1,12.66,clear sky,0.0,0.0
48,Roald,NO,62.5833,6.1333,55.9,100,75,3.44,broken clouds,0.0,0.0
49,Guacamayas,MX,18.0167,-102.2167,78.58,85,31,0.56,scattered clouds,0.0,0.0
50,Torbay,CA,47.6666,-52.7314,54.75,97,90,20.71,moderate rain,3.73,0.0
51,Clyde River,CA,70.4692,-68.5914,28.62,61,83,2.01,broken clouds,0.0,0.0
52,Inhambane,MZ,-23.865,35.3833,65.32,73,0,7.74,clear sky,0.0,0.0
53,Cherskiy,RU,68.75,161.3,35.44,47,100,10.09,overcast clouds,0.0,0.0
54,Yar-Sale,RU,66.8333,70.8333,30.74,91,31,19.66,scattered clouds,0.0,0.0
55,Namibe,AO,-15.1961,12.1522,60.1,87,12,6.73,few clouds,0.0,0.0
56,Meulaboh,ID,4.1363,96.1285,77.52,83,100,4.41,overcast clouds,0.0,0.0
57,Saint George,US,37.1041,-113.5841,90.19,10,1,8.05,clear sky,0.0,0.0
58,Santa Rosa,PH,14.3122,121.1114,84.09,71,100,3.87,overcast clouds,0.0,0.0
59,Oxelosund,SE,58.6706,17.1015,48.13,69,100,11.54,overcast clouds,0.0,0.0
60,Bermeo,ES,43.4209,-2.7215,61.83,81,61,13.38,broken clouds,0.0,0.0
61,Lavrentiya,RU,65.5833,-171.0,33.71,60,67,14.05,broken clouds,0.0,0.0
62,Tanout,NE,14.9709,8.8879,86.99,16,2,8.05,clear sky,0.0,0.0
63,Kruisfontein,ZA,-34.0033,24.7314,51.37,89,0,7.02,clear sky,0.0,0.0
64,Hobart,AU,-42.8794,147.3294,54.05,59,40,4.0,moderate rain,1.25,0.0
65,Glen Allen,US,37.666,-77.5064,74.21,82,76,1.01,broken clouds,0.0,0.0
66,Airai,TL,-8.9266,125.4092,75.2,36,14,6.33,few clouds,0.0,0.0
67,Ayagoz,KZ,47.9714,80.4392,42.4,59,0,7.83,clear sky,0.0,0.0
68,Shingu,JP,33.7333,135.9833,80.91,70,37,6.67,scattered clouds,0.0,0.0
69,Bulgan,MN,48.8125,103.5347,55.0,76,3,3.98,clear sky,0.0,0.0
70,Victoria,HK,22.2855,114.1577,90.97,83,11,5.95,few clouds,0.0,0.0
71,Terney,RU,45.0503,136.6092,65.8,34,42,1.86,scattered clouds,0.0,0.0
72,Paray-Le-Monial,FR,46.4546,4.1158,59.97,94,90,8.05,overcast clouds,0.0,0.0
